[exp20_head8_emb128_bs16_it1000_do0.1] iter 260/1000 | train_now 2.4699 | train_eval 2.4593 | val 2.4554 | gap 0.0039 | lr 5.54e-04 | params 1.21M | host_mem 17.4% | gpu_mem 79.7MB | 543.3 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 270/1000 | train_now 2.4870 | train_eval 2.4472 | val 2.4466 | gap 0.0006 | lr 5.49e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 582.1 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 280/1000 | train_now 2.4919 | train_eval 2.4417 | val 2.4417 | gap -0.0000 | lr 5.43e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 562.7 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 290/1000 | train_now 2.4501 | train_eval 2.4388 | val 2.4420 | gap -0.0032 | lr 5.36e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 592.6 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 300/1000 | train_now 2.4663 | train_eval 2.4368 | val 2.4544 | gap -0.0175 | lr 5.30e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 633.2 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 310/1000 | train_now 2.3963 | train_eval 2.4322 | val 2.4283 | gap 0.0039 | lr 5.23e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 572.4 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 320/1000 | train_now 2.4678 | train_eval 2.4217 | val 2.4035 | gap 0.0182 | lr 5.16e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 507.8 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 330/1000 | train_now 2.4538 | train_eval 2.3985 | val 2.4125 | gap -0.0140 | lr 5.08e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 498.1 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 340/1000 | train_now 2.4400 | train_eval 2.4109 | val 2.4006 | gap 0.0102 | lr 5.01e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 501.3 ms/it
[exp20_head8_emb128_bs16_it1000_do0.1] iter 350/1000 | train_now 2.4364 | train_eval 2.4002 | val 2.4139 | gap -0.0137 | lr 4.93e-04 | params 1.21M | host_mem 17.5% | gpu_mem 79.7MB | 499.7 ms/it
