[exp19_head8_emb128_bs8_it2000_do0.2] iter 260/2000 | train_now 2.4843 | train_eval 2.5107 | val 2.5218 | gap -0.0110 | lr 5.90e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 437.7 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 270/2000 | train_now 2.5325 | train_eval 2.5275 | val 2.5311 | gap -0.0036 | lr 5.88e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 430.7 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 280/2000 | train_now 2.5029 | train_eval 2.5022 | val 2.5103 | gap -0.0081 | lr 5.87e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 427.3 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 290/2000 | train_now 2.5682 | train_eval 2.5040 | val 2.5227 | gap -0.0187 | lr 5.85e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 439.3 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 300/2000 | train_now 2.5851 | train_eval 2.5067 | val 2.5194 | gap -0.0127 | lr 5.84e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 413.4 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 310/2000 | train_now 2.5301 | train_eval 2.5072 | val 2.5155 | gap -0.0083 | lr 5.82e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 418.2 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 320/2000 | train_now 2.5406 | train_eval 2.4756 | val 2.4974 | gap -0.0218 | lr 5.80e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 434.6 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 330/2000 | train_now 2.4810 | train_eval 2.5154 | val 2.4927 | gap 0.0226 | lr 5.79e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 431.5 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 340/2000 | train_now 2.4906 | train_eval 2.5082 | val 2.4982 | gap 0.0100 | lr 5.77e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 463.7 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 350/2000 | train_now 2.5818 | train_eval 2.4807 | val 2.4818 | gap -0.0011 | lr 5.75e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 428.1 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 360/2000 | train_now 2.5538 | train_eval 2.4752 | val 2.4806 | gap -0.0054 | lr 5.73e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 411.9 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 370/2000 | train_now 2.5979 | train_eval 2.4628 | val 2.4645 | gap -0.0017 | lr 5.71e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 433.8 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 380/2000 | train_now 2.4986 | train_eval 2.4613 | val 2.4803 | gap -0.0190 | lr 5.68e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 426.4 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 390/2000 | train_now 2.4730 | train_eval 2.4784 | val 2.4861 | gap -0.0076 | lr 5.66e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 416.7 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 400/2000 | train_now 2.4381 | train_eval 2.4519 | val 2.4744 | gap -0.0225 | lr 5.64e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 439.9 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 410/2000 | train_now 2.4461 | train_eval 2.4709 | val 2.4843 | gap -0.0134 | lr 5.61e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 437.0 ms/it
[exp19_head8_emb128_bs8_it2000_do0.2] iter 420/2000 | train_now 2.4659 | train_eval 2.4628 | val 2.4654 | gap -0.0026 | lr 5.59e-04 | params 1.21M | host_mem 17.6% | gpu_mem 84.3MB | 422.8 ms/it
