[exp15_head4_emb256_bs16_it2000_do0.2] iter 260/2000 | train_now 2.4826 | train_eval 2.4195 | val 2.4324 | gap -0.0130 | lr 5.90e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 815.7 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 270/2000 | train_now 2.4123 | train_eval 2.4037 | val 2.4276 | gap -0.0240 | lr 5.88e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 818.2 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 280/2000 | train_now 2.4113 | train_eval 2.4035 | val 2.4343 | gap -0.0308 | lr 5.87e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 842.0 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 290/2000 | train_now 2.4186 | train_eval 2.4078 | val 2.4358 | gap -0.0280 | lr 5.85e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 819.3 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 300/2000 | train_now 2.3653 | train_eval 2.3720 | val 2.4067 | gap -0.0347 | lr 5.84e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 830.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 310/2000 | train_now 2.4327 | train_eval 2.3937 | val 2.4046 | gap -0.0109 | lr 5.82e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 871.6 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 320/2000 | train_now 2.4186 | train_eval 2.3589 | val 2.3821 | gap -0.0232 | lr 5.80e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 876.0 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 330/2000 | train_now 2.4185 | train_eval 2.3443 | val 2.3765 | gap -0.0322 | lr 5.79e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 877.7 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 340/2000 | train_now 2.3875 | train_eval 2.3475 | val 2.3605 | gap -0.0130 | lr 5.77e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 845.6 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 350/2000 | train_now 2.4027 | train_eval 2.3221 | val 2.3644 | gap -0.0423 | lr 5.75e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 837.9 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 360/2000 | train_now 2.3640 | train_eval 2.3152 | val 2.3446 | gap -0.0293 | lr 5.73e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 819.6 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 370/2000 | train_now 2.3433 | train_eval 2.3161 | val 2.3597 | gap -0.0436 | lr 5.71e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 840.4 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 380/2000 | train_now 2.3138 | train_eval 2.2911 | val 2.3281 | gap -0.0370 | lr 5.68e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 820.0 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 390/2000 | train_now 2.4777 | train_eval 2.2998 | val 2.3030 | gap -0.0031 | lr 5.66e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 843.6 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 400/2000 | train_now 2.3466 | train_eval 2.2658 | val 2.3022 | gap -0.0365 | lr 5.64e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 841.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 410/2000 | train_now 2.3071 | train_eval 2.2695 | val 2.2989 | gap -0.0294 | lr 5.61e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 844.0 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 420/2000 | train_now 2.3219 | train_eval 2.2732 | val 2.2953 | gap -0.0222 | lr 5.59e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 843.3 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 430/2000 | train_now 2.3641 | train_eval 2.2487 | val 2.2973 | gap -0.0485 | lr 5.56e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 835.7 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 440/2000 | train_now 2.3486 | train_eval 2.2577 | val 2.3008 | gap -0.0431 | lr 5.54e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 817.1 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 450/2000 | train_now 2.2681 | train_eval 2.2504 | val 2.2835 | gap -0.0331 | lr 5.51e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 819.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 460/2000 | train_now 2.3185 | train_eval 2.2325 | val 2.2655 | gap -0.0330 | lr 5.48e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 873.6 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 470/2000 | train_now 2.2983 | train_eval 2.2303 | val 2.2537 | gap -0.0234 | lr 5.46e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 859.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 480/2000 | train_now 2.2918 | train_eval 2.2119 | val 2.2472 | gap -0.0352 | lr 5.43e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 888.3 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 490/2000 | train_now 2.2860 | train_eval 2.2224 | val 2.2608 | gap -0.0384 | lr 5.40e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 834.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 500/2000 | train_now 2.3211 | train_eval 2.1989 | val 2.2368 | gap -0.0379 | lr 5.37e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 811.5 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 510/2000 | train_now 2.2266 | train_eval 2.2086 | val 2.2430 | gap -0.0344 | lr 5.34e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 845.2 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 520/2000 | train_now 2.3616 | train_eval 2.2079 | val 2.2271 | gap -0.0191 | lr 5.31e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 815.5 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 530/2000 | train_now 2.2633 | train_eval 2.1953 | val 2.2441 | gap -0.0487 | lr 5.27e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 842.3 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 540/2000 | train_now 2.2379 | train_eval 2.1864 | val 2.2280 | gap -0.0416 | lr 5.24e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 816.6 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 550/2000 | train_now 2.2010 | train_eval 2.1687 | val 2.2045 | gap -0.0359 | lr 5.21e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 807.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 560/2000 | train_now 2.2485 | train_eval 2.1747 | val 2.2069 | gap -0.0322 | lr 5.17e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 832.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 570/2000 | train_now 2.1994 | train_eval 2.1850 | val 2.2196 | gap -0.0346 | lr 5.14e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 811.5 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 580/2000 | train_now 2.2214 | train_eval 2.1616 | val 2.1910 | gap -0.0294 | lr 5.10e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 811.4 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 590/2000 | train_now 2.2011 | train_eval 2.1559 | val 2.1912 | gap -0.0353 | lr 5.07e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 832.4 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 600/2000 | train_now 2.2124 | train_eval 2.1352 | val 2.1595 | gap -0.0243 | lr 5.03e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 807.5 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 610/2000 | train_now 2.2273 | train_eval 2.1294 | val 2.2027 | gap -0.0733 | lr 5.00e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 844.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 620/2000 | train_now 2.1800 | train_eval 2.1226 | val 2.1647 | gap -0.0421 | lr 4.96e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 821.0 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 630/2000 | train_now 2.2302 | train_eval 2.1328 | val 2.1700 | gap -0.0372 | lr 4.92e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 833.6 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 640/2000 | train_now 2.1860 | train_eval 2.1222 | val 2.1702 | gap -0.0481 | lr 4.88e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 813.1 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 650/2000 | train_now 2.2613 | train_eval 2.1317 | val 2.1648 | gap -0.0330 | lr 4.84e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 800.9 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 660/2000 | train_now 2.2028 | train_eval 2.1116 | val 2.1471 | gap -0.0355 | lr 4.80e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 804.7 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 670/2000 | train_now 2.2222 | train_eval 2.0846 | val 2.1612 | gap -0.0766 | lr 4.76e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 831.6 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 680/2000 | train_now 2.1426 | train_eval 2.1022 | val 2.1669 | gap -0.0647 | lr 4.72e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 809.4 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 690/2000 | train_now 2.1654 | train_eval 2.0916 | val 2.1336 | gap -0.0419 | lr 4.68e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 810.3 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 700/2000 | train_now 2.1597 | train_eval 2.0895 | val 2.1491 | gap -0.0597 | lr 4.64e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 830.7 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 710/2000 | train_now 2.1292 | train_eval 2.0967 | val 2.1265 | gap -0.0299 | lr 4.60e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 805.0 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 720/2000 | train_now 2.2147 | train_eval 2.0684 | val 2.1458 | gap -0.0774 | lr 4.56e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 828.1 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 730/2000 | train_now 2.1408 | train_eval 2.0695 | val 2.1331 | gap -0.0636 | lr 4.51e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 805.3 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 740/2000 | train_now 2.1801 | train_eval 2.0413 | val 2.0939 | gap -0.0526 | lr 4.47e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 802.4 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 750/2000 | train_now 2.1087 | train_eval 2.0497 | val 2.1270 | gap -0.0773 | lr 4.43e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 825.4 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 760/2000 | train_now 2.1362 | train_eval 2.0342 | val 2.1069 | gap -0.0727 | lr 4.38e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 810.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 770/2000 | train_now 2.0970 | train_eval 2.0604 | val 2.1024 | gap -0.0420 | lr 4.34e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 822.0 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 780/2000 | train_now 2.1568 | train_eval 2.0366 | val 2.1038 | gap -0.0672 | lr 4.30e-04 | params 4.77M | host_mem 17.8% | gpu_mem 117.6MB | 818.3 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 790/2000 | train_now 2.1267 | train_eval 2.0507 | val 2.0964 | gap -0.0457 | lr 4.25e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 823.9 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 800/2000 | train_now 2.0915 | train_eval 2.0337 | val 2.0932 | gap -0.0595 | lr 4.21e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 802.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 810/2000 | train_now 2.1030 | train_eval 2.0191 | val 2.1104 | gap -0.0913 | lr 4.16e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 830.7 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 820/2000 | train_now 2.1376 | train_eval 2.0308 | val 2.1017 | gap -0.0709 | lr 4.11e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 805.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 830/2000 | train_now 2.1376 | train_eval 2.0268 | val 2.0872 | gap -0.0604 | lr 4.07e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 802.1 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 840/2000 | train_now 2.0832 | train_eval 2.0380 | val 2.0804 | gap -0.0424 | lr 4.02e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 836.4 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 850/2000 | train_now 2.0832 | train_eval 2.0023 | val 2.0813 | gap -0.0790 | lr 3.97e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 831.9 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 860/2000 | train_now 2.1154 | train_eval 1.9824 | val 2.0947 | gap -0.1124 | lr 3.93e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 807.5 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 870/2000 | train_now 2.0506 | train_eval 2.0092 | val 2.0912 | gap -0.0820 | lr 3.88e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 805.2 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 880/2000 | train_now 2.0746 | train_eval 2.0034 | val 2.0755 | gap -0.0721 | lr 3.83e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 803.3 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 890/2000 | train_now 2.0736 | train_eval 2.0033 | val 2.0704 | gap -0.0671 | lr 3.78e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 824.4 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 900/2000 | train_now 2.0655 | train_eval 1.9797 | val 2.0645 | gap -0.0848 | lr 3.74e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 826.2 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 910/2000 | train_now 2.0797 | train_eval 1.9894 | val 2.0587 | gap -0.0693 | lr 3.69e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 828.5 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 920/2000 | train_now 2.1132 | train_eval 1.9793 | val 2.0459 | gap -0.0666 | lr 3.64e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 838.9 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 930/2000 | train_now 2.0356 | train_eval 1.9608 | val 2.0427 | gap -0.0819 | lr 3.59e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 859.5 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 940/2000 | train_now 2.0322 | train_eval 1.9733 | val 2.0473 | gap -0.0741 | lr 3.54e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 855.4 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 950/2000 | train_now 2.0503 | train_eval 1.9554 | val 2.0490 | gap -0.0937 | lr 3.49e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 820.4 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 960/2000 | train_now 2.0654 | train_eval 1.9490 | val 2.0506 | gap -0.1017 | lr 3.44e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 799.9 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 970/2000 | train_now 2.0878 | train_eval 1.9515 | val 2.0527 | gap -0.1013 | lr 3.40e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 801.7 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 980/2000 | train_now 2.0853 | train_eval 1.9381 | val 2.0234 | gap -0.0853 | lr 3.35e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 799.0 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 990/2000 | train_now 2.0141 | train_eval 1.9550 | val 2.0281 | gap -0.0731 | lr 3.30e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 825.2 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 1000/2000 | train_now 2.0151 | train_eval 1.9568 | val 2.0425 | gap -0.0857 | lr 3.25e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 803.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 1010/2000 | train_now 2.0592 | train_eval 1.9577 | val 2.0401 | gap -0.0824 | lr 3.20e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 806.3 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 1020/2000 | train_now 1.9845 | train_eval 1.9514 | val 2.0048 | gap -0.0534 | lr 3.15e-04 | params 4.77M | host_mem 17.5% | gpu_mem 117.6MB | 803.4 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 1030/2000 | train_now 1.9656 | train_eval 1.9514 | val 2.0365 | gap -0.0851 | lr 3.10e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 833.3 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 1040/2000 | train_now 1.9566 | train_eval 1.9348 | val 2.0142 | gap -0.0794 | lr 3.05e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 803.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 1050/2000 | train_now 2.0421 | train_eval 1.9198 | val 2.0111 | gap -0.0913 | lr 3.00e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 810.7 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 1060/2000 | train_now 1.9797 | train_eval 1.9133 | val 2.0061 | gap -0.0928 | lr 2.95e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 804.9 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 1070/2000 | train_now 2.0524 | train_eval 1.9086 | val 1.9916 | gap -0.0830 | lr 2.90e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 800.3 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 1080/2000 | train_now 2.0229 | train_eval 1.9009 | val 2.0034 | gap -0.1025 | lr 2.85e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 841.9 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 1090/2000 | train_now 1.9754 | train_eval 1.9231 | val 2.0097 | gap -0.0865 | lr 2.80e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 817.0 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 1100/2000 | train_now 2.0117 | train_eval 1.9165 | val 2.0002 | gap -0.0837 | lr 2.75e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 824.4 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 1110/2000 | train_now 2.0010 | train_eval 1.9041 | val 1.9879 | gap -0.0838 | lr 2.70e-04 | params 4.77M | host_mem 17.7% | gpu_mem 117.6MB | 808.8 ms/it
[exp15_head4_emb256_bs16_it2000_do0.2] iter 1120/2000 | train_now 1.9271 | train_eval 1.8927 | val 1.9930 | gap -0.1003 | lr 2.65e-04 | params 4.77M | host_mem 17.6% | gpu_mem 117.6MB | 839.5 ms/it
