[exp02_head4_emb128_bs8_it2000_do0.1] iter 260/2000 | train_now 2.4595 | train_eval 2.5086 | val 2.5215 | gap -0.0129 | lr 5.90e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 429.9 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 270/2000 | train_now 2.5168 | train_eval 2.5204 | val 2.5230 | gap -0.0027 | lr 5.88e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 414.0 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 280/2000 | train_now 2.4994 | train_eval 2.4867 | val 2.5032 | gap -0.0166 | lr 5.87e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 450.3 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 290/2000 | train_now 2.5235 | train_eval 2.4806 | val 2.5080 | gap -0.0274 | lr 5.85e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 430.9 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 300/2000 | train_now 2.5503 | train_eval 2.4868 | val 2.5035 | gap -0.0167 | lr 5.84e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 425.6 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 310/2000 | train_now 2.5078 | train_eval 2.4967 | val 2.5014 | gap -0.0047 | lr 5.82e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 415.9 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 320/2000 | train_now 2.5048 | train_eval 2.4598 | val 2.4879 | gap -0.0281 | lr 5.80e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 495.5 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 330/2000 | train_now 2.4700 | train_eval 2.4955 | val 2.4815 | gap 0.0139 | lr 5.79e-04 | params 1.21M | host_mem 16.3% | gpu_mem 36.5MB | 591.4 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 340/2000 | train_now 2.4684 | train_eval 2.4871 | val 2.4805 | gap 0.0066 | lr 5.77e-04 | params 1.21M | host_mem 16.3% | gpu_mem 36.5MB | 538.1 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 350/2000 | train_now 2.5575 | train_eval 2.4618 | val 2.4595 | gap 0.0024 | lr 5.75e-04 | params 1.21M | host_mem 16.3% | gpu_mem 36.5MB | 535.2 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 360/2000 | train_now 2.5229 | train_eval 2.4570 | val 2.4652 | gap -0.0081 | lr 5.73e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 614.2 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 370/2000 | train_now 2.5575 | train_eval 2.4516 | val 2.4528 | gap -0.0012 | lr 5.71e-04 | params 1.21M | host_mem 16.2% | gpu_mem 36.5MB | 506.5 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 380/2000 | train_now 2.4814 | train_eval 2.4550 | val 2.4691 | gap -0.0141 | lr 5.68e-04 | params 1.21M | host_mem 16.1% | gpu_mem 36.5MB | 432.1 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 390/2000 | train_now 2.4487 | train_eval 2.4540 | val 2.4552 | gap -0.0012 | lr 5.66e-04 | params 1.21M | host_mem 16.1% | gpu_mem 36.5MB | 405.6 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 400/2000 | train_now 2.4084 | train_eval 2.4360 | val 2.4475 | gap -0.0116 | lr 5.64e-04 | params 1.21M | host_mem 16.1% | gpu_mem 36.5MB | 401.0 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 410/2000 | train_now 2.4231 | train_eval 2.4544 | val 2.4658 | gap -0.0114 | lr 5.61e-04 | params 1.21M | host_mem 16.1% | gpu_mem 36.5MB | 428.9 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 420/2000 | train_now 2.4395 | train_eval 2.4494 | val 2.4436 | gap 0.0059 | lr 5.59e-04 | params 1.21M | host_mem 16.1% | gpu_mem 36.5MB | 388.3 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 430/2000 | train_now 2.3844 | train_eval 2.4330 | val 2.4313 | gap 0.0017 | lr 5.56e-04 | params 1.21M | host_mem 16.1% | gpu_mem 36.5MB | 425.1 ms/it
[exp02_head4_emb128_bs8_it2000_do0.1] iter 440/2000 | train_now 2.4733 | train_eval 2.4253 | val 2.4301 | gap -0.0048 | lr 5.54e-04 | params 1.21M | host_mem 16.3% | gpu_mem 36.5MB | 499.2 ms/it
