[exp30_head8_emb256_bs16_it2000_do0.1] iter 260/2000 | train_now 2.4377 | train_eval 2.3957 | val 2.4117 | gap -0.0159 | lr 5.90e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 938.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 270/2000 | train_now 2.3633 | train_eval 2.3705 | val 2.3977 | gap -0.0272 | lr 5.88e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 909.5 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 280/2000 | train_now 2.3856 | train_eval 2.3677 | val 2.4050 | gap -0.0373 | lr 5.87e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 942.4 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 290/2000 | train_now 2.3760 | train_eval 2.3597 | val 2.3825 | gap -0.0228 | lr 5.85e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 913.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 300/2000 | train_now 2.3117 | train_eval 2.3239 | val 2.3604 | gap -0.0365 | lr 5.84e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 942.3 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 310/2000 | train_now 2.3751 | train_eval 2.3362 | val 2.3534 | gap -0.0172 | lr 5.82e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 962.3 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 320/2000 | train_now 2.3438 | train_eval 2.3169 | val 2.3363 | gap -0.0194 | lr 5.80e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 965.3 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 330/2000 | train_now 2.3764 | train_eval 2.2945 | val 2.3347 | gap -0.0402 | lr 5.79e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 972.3 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 340/2000 | train_now 2.3208 | train_eval 2.3000 | val 2.3201 | gap -0.0201 | lr 5.77e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 943.5 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 350/2000 | train_now 2.3656 | train_eval 2.2778 | val 2.3252 | gap -0.0475 | lr 5.75e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 928.1 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 360/2000 | train_now 2.2948 | train_eval 2.2727 | val 2.3136 | gap -0.0409 | lr 5.73e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 911.8 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 370/2000 | train_now 2.2861 | train_eval 2.2643 | val 2.3138 | gap -0.0495 | lr 5.71e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 943.4 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 380/2000 | train_now 2.2325 | train_eval 2.2427 | val 2.2879 | gap -0.0453 | lr 5.68e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 904.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 390/2000 | train_now 2.4218 | train_eval 2.2578 | val 2.2621 | gap -0.0043 | lr 5.66e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 929.8 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 400/2000 | train_now 2.2877 | train_eval 2.2221 | val 2.2671 | gap -0.0451 | lr 5.64e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 925.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 410/2000 | train_now 2.2171 | train_eval 2.2360 | val 2.2712 | gap -0.0352 | lr 5.61e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 905.1 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 420/2000 | train_now 2.2505 | train_eval 2.2181 | val 2.2442 | gap -0.0261 | lr 5.59e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 901.7 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 430/2000 | train_now 2.3024 | train_eval 2.1985 | val 2.2522 | gap -0.0537 | lr 5.56e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 926.9 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 440/2000 | train_now 2.2687 | train_eval 2.1920 | val 2.2469 | gap -0.0549 | lr 5.54e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 908.3 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 450/2000 | train_now 2.2126 | train_eval 2.1949 | val 2.2267 | gap -0.0317 | lr 5.51e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 913.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 460/2000 | train_now 2.2303 | train_eval 2.1792 | val 2.2171 | gap -0.0379 | lr 5.48e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 954.7 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 470/2000 | train_now 2.2409 | train_eval 2.1741 | val 2.1997 | gap -0.0256 | lr 5.46e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 950.5 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 480/2000 | train_now 2.2214 | train_eval 2.1464 | val 2.1834 | gap -0.0370 | lr 5.43e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 926.1 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 490/2000 | train_now 2.1991 | train_eval 2.1602 | val 2.2094 | gap -0.0492 | lr 5.40e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 925.4 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 500/2000 | train_now 2.2297 | train_eval 2.1370 | val 2.1886 | gap -0.0515 | lr 5.37e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 896.1 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 510/2000 | train_now 2.1312 | train_eval 2.1423 | val 2.1837 | gap -0.0414 | lr 5.34e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 896.0 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 520/2000 | train_now 2.2719 | train_eval 2.1362 | val 2.1698 | gap -0.0337 | lr 5.31e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 897.7 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 530/2000 | train_now 2.1815 | train_eval 2.1217 | val 2.1810 | gap -0.0593 | lr 5.27e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 923.4 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 540/2000 | train_now 2.1692 | train_eval 2.1051 | val 2.1606 | gap -0.0555 | lr 5.24e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 893.4 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 550/2000 | train_now 2.0953 | train_eval 2.0866 | val 2.1353 | gap -0.0487 | lr 5.21e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 926.5 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 560/2000 | train_now 2.1590 | train_eval 2.0999 | val 2.1496 | gap -0.0497 | lr 5.17e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 921.4 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 570/2000 | train_now 2.0984 | train_eval 2.0910 | val 2.1494 | gap -0.0584 | lr 5.14e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 896.3 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 580/2000 | train_now 2.1211 | train_eval 2.0759 | val 2.1211 | gap -0.0452 | lr 5.10e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 905.0 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 590/2000 | train_now 2.0878 | train_eval 2.0724 | val 2.1189 | gap -0.0465 | lr 5.07e-04 | params 4.77M | host_mem 18.0% | gpu_mem 146.3MB | 948.3 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 600/2000 | train_now 2.1013 | train_eval 2.0520 | val 2.0901 | gap -0.0382 | lr 5.03e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 956.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 610/2000 | train_now 2.1330 | train_eval 2.0378 | val 2.1235 | gap -0.0857 | lr 5.00e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 961.5 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 620/2000 | train_now 2.0842 | train_eval 2.0436 | val 2.1088 | gap -0.0652 | lr 4.96e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 888.7 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 630/2000 | train_now 2.1223 | train_eval 2.0497 | val 2.1065 | gap -0.0567 | lr 4.92e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 891.0 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 640/2000 | train_now 2.0455 | train_eval 2.0319 | val 2.0910 | gap -0.0591 | lr 4.88e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 892.7 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 650/2000 | train_now 2.1630 | train_eval 2.0305 | val 2.0834 | gap -0.0529 | lr 4.84e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 893.3 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 660/2000 | train_now 2.0896 | train_eval 2.0190 | val 2.0717 | gap -0.0527 | lr 4.80e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 921.0 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 670/2000 | train_now 2.1220 | train_eval 1.9955 | val 2.0885 | gap -0.0930 | lr 4.76e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 917.7 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 680/2000 | train_now 2.0299 | train_eval 1.9961 | val 2.0789 | gap -0.0828 | lr 4.72e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 895.7 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 690/2000 | train_now 2.0765 | train_eval 1.9972 | val 2.0553 | gap -0.0581 | lr 4.68e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 891.5 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 700/2000 | train_now 2.0448 | train_eval 1.9866 | val 2.0648 | gap -0.0782 | lr 4.64e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 920.4 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 710/2000 | train_now 2.0019 | train_eval 1.9911 | val 2.0472 | gap -0.0561 | lr 4.60e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 889.4 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 720/2000 | train_now 2.0824 | train_eval 1.9657 | val 2.0649 | gap -0.0992 | lr 4.56e-04 | params 4.77M | host_mem 18.0% | gpu_mem 146.3MB | 925.4 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 730/2000 | train_now 2.0374 | train_eval 1.9803 | val 2.0587 | gap -0.0783 | lr 4.51e-04 | params 4.77M | host_mem 18.0% | gpu_mem 146.3MB | 906.2 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 740/2000 | train_now 2.0638 | train_eval 1.9502 | val 2.0229 | gap -0.0727 | lr 4.47e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 908.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 750/2000 | train_now 1.9946 | train_eval 1.9486 | val 2.0460 | gap -0.0974 | lr 4.43e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 939.5 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 760/2000 | train_now 1.9927 | train_eval 1.9310 | val 2.0233 | gap -0.0923 | lr 4.38e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 887.8 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 770/2000 | train_now 2.0012 | train_eval 1.9501 | val 2.0222 | gap -0.0721 | lr 4.34e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 888.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 780/2000 | train_now 2.0395 | train_eval 1.9409 | val 2.0338 | gap -0.0930 | lr 4.30e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 912.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 790/2000 | train_now 1.9803 | train_eval 1.9431 | val 2.0089 | gap -0.0659 | lr 4.25e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 887.2 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 800/2000 | train_now 1.9623 | train_eval 1.9291 | val 2.0134 | gap -0.0843 | lr 4.21e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 917.9 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 810/2000 | train_now 1.9668 | train_eval 1.9103 | val 2.0364 | gap -0.1261 | lr 4.16e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 890.2 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 820/2000 | train_now 2.0272 | train_eval 1.9246 | val 2.0313 | gap -0.1066 | lr 4.11e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 891.0 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 830/2000 | train_now 2.0110 | train_eval 1.9215 | val 2.0125 | gap -0.0910 | lr 4.07e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 895.2 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 840/2000 | train_now 1.9296 | train_eval 1.9204 | val 1.9905 | gap -0.0701 | lr 4.02e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 891.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 850/2000 | train_now 1.9640 | train_eval 1.8961 | val 2.0039 | gap -0.1078 | lr 3.97e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 920.0 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 860/2000 | train_now 1.9769 | train_eval 1.8732 | val 2.0041 | gap -0.1310 | lr 3.93e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 901.2 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 870/2000 | train_now 1.9393 | train_eval 1.8859 | val 2.0024 | gap -0.1165 | lr 3.88e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 903.7 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 880/2000 | train_now 1.9309 | train_eval 1.8825 | val 1.9886 | gap -0.1061 | lr 3.83e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 914.5 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 890/2000 | train_now 1.9321 | train_eval 1.8892 | val 1.9848 | gap -0.0956 | lr 3.78e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 940.0 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 900/2000 | train_now 1.9316 | train_eval 1.8575 | val 1.9715 | gap -0.1140 | lr 3.74e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 917.5 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 910/2000 | train_now 1.9406 | train_eval 1.8836 | val 1.9832 | gap -0.0996 | lr 3.69e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 924.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 920/2000 | train_now 1.9868 | train_eval 1.8743 | val 1.9638 | gap -0.0895 | lr 3.64e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 890.9 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 930/2000 | train_now 1.9099 | train_eval 1.8458 | val 1.9618 | gap -0.1159 | lr 3.59e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 916.9 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 940/2000 | train_now 1.9065 | train_eval 1.8621 | val 1.9603 | gap -0.0983 | lr 3.54e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 915.2 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 950/2000 | train_now 1.8962 | train_eval 1.8436 | val 1.9710 | gap -0.1273 | lr 3.49e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 915.6 ms/it
[exp30_head8_emb256_bs16_it2000_do0.1] iter 960/2000 | train_now 1.9241 | train_eval 1.8317 | val 1.9577 | gap -0.1260 | lr 3.44e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 894.7 ms/it
