[exp27_head8_emb256_bs8_it2000_do0.2] iter 260/2000 | train_now 2.5301 | train_eval 2.4856 | val 2.4889 | gap -0.0033 | lr 5.90e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 490.3 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 270/2000 | train_now 2.4789 | train_eval 2.4555 | val 2.4592 | gap -0.0036 | lr 5.88e-04 | params 4.77M | host_mem 17.5% | gpu_mem 146.2MB | 479.6 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 280/2000 | train_now 2.4568 | train_eval 2.4632 | val 2.4596 | gap 0.0036 | lr 5.87e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 519.5 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 290/2000 | train_now 2.4708 | train_eval 2.4883 | val 2.4774 | gap 0.0110 | lr 5.85e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 484.9 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 300/2000 | train_now 2.4408 | train_eval 2.4681 | val 2.4760 | gap -0.0080 | lr 5.84e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 489.9 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 310/2000 | train_now 2.4364 | train_eval 2.4597 | val 2.4496 | gap 0.0101 | lr 5.82e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 483.0 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 320/2000 | train_now 2.4769 | train_eval 2.4701 | val 2.4735 | gap -0.0034 | lr 5.80e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 525.4 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 330/2000 | train_now 2.4337 | train_eval 2.4381 | val 2.4761 | gap -0.0379 | lr 5.79e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 484.7 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 340/2000 | train_now 2.4440 | train_eval 2.4421 | val 2.4965 | gap -0.0544 | lr 5.77e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 490.0 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 350/2000 | train_now 2.3818 | train_eval 2.4260 | val 2.4569 | gap -0.0310 | lr 5.75e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 484.4 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 360/2000 | train_now 2.4948 | train_eval 2.4372 | val 2.4356 | gap 0.0015 | lr 5.73e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 489.8 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 370/2000 | train_now 2.4920 | train_eval 2.4286 | val 2.4531 | gap -0.0244 | lr 5.71e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 511.8 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 380/2000 | train_now 2.4590 | train_eval 2.4110 | val 2.4367 | gap -0.0257 | lr 5.68e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 488.4 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 390/2000 | train_now 2.5431 | train_eval 2.4290 | val 2.4454 | gap -0.0164 | lr 5.66e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 491.7 ms/it
[exp27_head8_emb256_bs8_it2000_do0.2] iter 400/2000 | train_now 2.4415 | train_eval 2.4234 | val 2.4359 | gap -0.0125 | lr 5.64e-04 | params 4.77M | host_mem 17.6% | gpu_mem 146.2MB | 483.6 ms/it
