[exp07_head4_emb128_bs16_it2000_do0.2] iter 260/2000 | train_now 2.5013 | train_eval 2.4855 | val 2.4787 | gap 0.0068 | lr 5.90e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 437.1 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 270/2000 | train_now 2.5081 | train_eval 2.4741 | val 2.4662 | gap 0.0079 | lr 5.88e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 443.0 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 280/2000 | train_now 2.5336 | train_eval 2.4660 | val 2.4643 | gap 0.0017 | lr 5.87e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 442.7 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 290/2000 | train_now 2.4845 | train_eval 2.4698 | val 2.4660 | gap 0.0038 | lr 5.85e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 448.9 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 300/2000 | train_now 2.5115 | train_eval 2.4683 | val 2.4841 | gap -0.0159 | lr 5.84e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 438.5 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 310/2000 | train_now 2.4457 | train_eval 2.4614 | val 2.4537 | gap 0.0077 | lr 5.82e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 434.8 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 320/2000 | train_now 2.5086 | train_eval 2.4553 | val 2.4388 | gap 0.0165 | lr 5.80e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 460.4 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 330/2000 | train_now 2.4877 | train_eval 2.4340 | val 2.4444 | gap -0.0104 | lr 5.79e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 440.8 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 340/2000 | train_now 2.4835 | train_eval 2.4414 | val 2.4330 | gap 0.0084 | lr 5.77e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 444.7 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 350/2000 | train_now 2.4665 | train_eval 2.4384 | val 2.4490 | gap -0.0106 | lr 5.75e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 439.4 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 360/2000 | train_now 2.4619 | train_eval 2.4290 | val 2.4333 | gap -0.0044 | lr 5.73e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 449.3 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 370/2000 | train_now 2.4494 | train_eval 2.4277 | val 2.4396 | gap -0.0119 | lr 5.71e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 447.9 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 380/2000 | train_now 2.4807 | train_eval 2.4407 | val 2.4291 | gap 0.0116 | lr 5.68e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 430.6 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 390/2000 | train_now 2.4374 | train_eval 2.4179 | val 2.4170 | gap 0.0009 | lr 5.66e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 448.9 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 400/2000 | train_now 2.4718 | train_eval 2.4201 | val 2.4191 | gap 0.0010 | lr 5.64e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 500.9 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 410/2000 | train_now 2.4704 | train_eval 2.4185 | val 2.4028 | gap 0.0157 | lr 5.61e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 450.5 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 420/2000 | train_now 2.4496 | train_eval 2.4059 | val 2.4038 | gap 0.0022 | lr 5.59e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 459.8 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 430/2000 | train_now 2.4641 | train_eval 2.4089 | val 2.4190 | gap -0.0101 | lr 5.56e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 456.4 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 440/2000 | train_now 2.4281 | train_eval 2.4105 | val 2.3910 | gap 0.0194 | lr 5.54e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 438.0 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 450/2000 | train_now 2.4867 | train_eval 2.3987 | val 2.4030 | gap -0.0043 | lr 5.51e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 457.0 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 460/2000 | train_now 2.4119 | train_eval 2.4057 | val 2.4133 | gap -0.0076 | lr 5.48e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 529.2 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 470/2000 | train_now 2.3956 | train_eval 2.3973 | val 2.3851 | gap 0.0122 | lr 5.46e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 574.9 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 480/2000 | train_now 2.4543 | train_eval 2.3994 | val 2.3990 | gap 0.0004 | lr 5.43e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 546.2 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 490/2000 | train_now 2.4716 | train_eval 2.3801 | val 2.4007 | gap -0.0206 | lr 5.40e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 595.7 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 500/2000 | train_now 2.3907 | train_eval 2.3803 | val 2.4009 | gap -0.0206 | lr 5.37e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 639.7 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 510/2000 | train_now 2.4322 | train_eval 2.3616 | val 2.3811 | gap -0.0195 | lr 5.34e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 503.1 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 520/2000 | train_now 2.3585 | train_eval 2.3749 | val 2.3885 | gap -0.0136 | lr 5.31e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 444.0 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 530/2000 | train_now 2.4369 | train_eval 2.3752 | val 2.3826 | gap -0.0074 | lr 5.27e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 450.1 ms/it
[exp07_head4_emb128_bs16_it2000_do0.2] iter 540/2000 | train_now 2.3273 | train_eval 2.3703 | val 2.3664 | gap 0.0038 | lr 5.24e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 426.2 ms/it
