[exp29_head8_emb256_bs16_it1000_do0.2] iter 260/1000 | train_now 2.4848 | train_eval 2.4171 | val 2.4328 | gap -0.0157 | lr 5.54e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 939.0 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 270/1000 | train_now 2.3828 | train_eval 2.3977 | val 2.4173 | gap -0.0196 | lr 5.49e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 924.8 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 280/1000 | train_now 2.4179 | train_eval 2.3925 | val 2.4296 | gap -0.0371 | lr 5.43e-04 | params 4.77M | host_mem 17.9% | gpu_mem 146.3MB | 967.5 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 290/1000 | train_now 2.4088 | train_eval 2.3951 | val 2.4146 | gap -0.0195 | lr 5.36e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 932.4 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 300/1000 | train_now 2.3537 | train_eval 2.3612 | val 2.3981 | gap -0.0369 | lr 5.30e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 965.6 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 310/1000 | train_now 2.4065 | train_eval 2.3726 | val 2.3854 | gap -0.0128 | lr 5.23e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 945.5 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 320/1000 | train_now 2.3850 | train_eval 2.3510 | val 2.3713 | gap -0.0203 | lr 5.16e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 943.9 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 330/1000 | train_now 2.4182 | train_eval 2.3404 | val 2.3658 | gap -0.0253 | lr 5.08e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 947.5 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 340/1000 | train_now 2.3737 | train_eval 2.3429 | val 2.3553 | gap -0.0123 | lr 5.01e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 935.2 ms/it
[exp29_head8_emb256_bs16_it1000_do0.2] iter 350/1000 | train_now 2.4149 | train_eval 2.3193 | val 2.3652 | gap -0.0459 | lr 4.93e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 938.8 ms/it
