[exp28_head8_emb256_bs16_it1000_do0.1] iter 260/1000 | train_now 2.4361 | train_eval 2.3944 | val 2.4113 | gap -0.0169 | lr 5.54e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 930.8 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 270/1000 | train_now 2.3620 | train_eval 2.3701 | val 2.3974 | gap -0.0272 | lr 5.49e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 912.6 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 280/1000 | train_now 2.3824 | train_eval 2.3642 | val 2.4018 | gap -0.0377 | lr 5.43e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 946.8 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 290/1000 | train_now 2.3744 | train_eval 2.3574 | val 2.3806 | gap -0.0232 | lr 5.36e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 924.4 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 300/1000 | train_now 2.3091 | train_eval 2.3200 | val 2.3577 | gap -0.0378 | lr 5.30e-04 | params 4.77M | host_mem 17.7% | gpu_mem 146.3MB | 964.6 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 310/1000 | train_now 2.3726 | train_eval 2.3344 | val 2.3520 | gap -0.0176 | lr 5.23e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 956.2 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 320/1000 | train_now 2.3469 | train_eval 2.3142 | val 2.3343 | gap -0.0201 | lr 5.16e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 927.2 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 330/1000 | train_now 2.3767 | train_eval 2.2961 | val 2.3364 | gap -0.0403 | lr 5.08e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 930.3 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 340/1000 | train_now 2.3208 | train_eval 2.2970 | val 2.3172 | gap -0.0202 | lr 5.01e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 906.5 ms/it
[exp28_head8_emb256_bs16_it1000_do0.1] iter 350/1000 | train_now 2.3656 | train_eval 2.2750 | val 2.3217 | gap -0.0467 | lr 4.93e-04 | params 4.77M | host_mem 17.8% | gpu_mem 146.3MB | 935.8 ms/it
