[exp18_head8_emb128_bs8_it2000_do0.1] iter 260/2000 | train_now 2.4631 | train_eval 2.5046 | val 2.5148 | gap -0.0102 | lr 5.90e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 431.3 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 270/2000 | train_now 2.5098 | train_eval 2.5163 | val 2.5182 | gap -0.0019 | lr 5.88e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 415.1 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 280/2000 | train_now 2.4909 | train_eval 2.4856 | val 2.5024 | gap -0.0168 | lr 5.87e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 408.8 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 290/2000 | train_now 2.5549 | train_eval 2.4884 | val 2.5163 | gap -0.0279 | lr 5.85e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 429.1 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 300/2000 | train_now 2.5579 | train_eval 2.4852 | val 2.5063 | gap -0.0210 | lr 5.84e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 410.9 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 310/2000 | train_now 2.5029 | train_eval 2.4948 | val 2.5018 | gap -0.0071 | lr 5.82e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 422.6 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 320/2000 | train_now 2.5076 | train_eval 2.4598 | val 2.4925 | gap -0.0327 | lr 5.80e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 429.9 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 330/2000 | train_now 2.4649 | train_eval 2.4944 | val 2.4782 | gap 0.0162 | lr 5.79e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 428.1 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 340/2000 | train_now 2.4614 | train_eval 2.4877 | val 2.4804 | gap 0.0073 | lr 5.77e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 443.4 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 350/2000 | train_now 2.5494 | train_eval 2.4607 | val 2.4579 | gap 0.0028 | lr 5.75e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 410.2 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 360/2000 | train_now 2.5325 | train_eval 2.4573 | val 2.4657 | gap -0.0084 | lr 5.73e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 435.5 ms/it
[exp18_head8_emb128_bs8_it2000_do0.1] iter 370/2000 | train_now 2.5571 | train_eval 2.4384 | val 2.4420 | gap -0.0036 | lr 5.71e-04 | params 1.21M | host_mem 17.6% | gpu_mem 79.5MB | 417.8 ms/it
